Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
108,Entry long,2025-05-19 09:00,L,1.12812,9019.24,10174.78503,-46.27,-0.45,6.49,0.06,-46.27,-0.45,128.53,1.29
109,Exit long,2025-05-22 02:00,time,1.13377,8945.01,10128.52427,13.06,0.13,35.6,0.35,-10.82,-0.11,141.59,1.42
109,Entry long,2025-05-21 02:00,L,1.13231,8945.01,10128.52427,13.06,0.13,35.6,0.35,-10.82,-0.11,141.59,1.42
110,Exit long,2025-05-23 11:00,X,1.12992,8934.92,10141.58095,-45.84,-0.45,22.69,0.22,-45.84,-0.45,95.75,0.96
110,Entry long,2025-05-23 09:00,L,1.13505,8934.92,10141.58095,-45.84,-0.45,22.69,0.22,-45.84,-0.45,95.75,0.96
111,Exit long,2025-05-27 00:00,time,1.13988,8857.24,10095.74787,0.44,0.00,18.25,0.18,-26.04,-0.26,96.19,0.96
111,Entry long,2025-05-26 00:00,L,1.13983,8857.24,10095.74787,0.44,0.00,18.25,0.18,-26.04,-0.26,96.19,0.96
112,Exit long,2025-06-03 06:00,time,1.14276,8854.29,10096.19272,22.14,0.22,46.22,0.46,-3.28,-0.03,118.33,1.18
112,Entry long,2025-06-02 06:00,L,1.14026,8854.29,10096.19272,22.14,0.22,46.22,0.46,-3.28,-0.03,118.33,1.18
113,Exit long,2025-06-05 14:00,time,1.14567,8849.41,10118.3269,20.18,0.20,54.16,0.54,-25.93,-0.26,138.51,1.39
113,Entry long,2025-06-04 14:00,L,1.14339,8849.41,10118.3269,20.18,0.20,54.16,0.54,-25.93,-0.26,138.51,1.39
114,Exit long,2025-06-12 10:00,X,1.15988,8817.01,10138.50346,88.17,0.87,88.17,0.87,-17.28,-0.17,226.68,2.27
114,Entry long,2025-06-11 17:00,L,1.14988,8817.01,10138.50346,88.17,0.87,88.17,0.87,-17.28,-0.17,226.68,2.27
115,Exit long,2025-06-13 00:00,X,1.15429,8820.51,10226.6757,-45.25,-0.44,33.25,0.33,-45.25,-0.44,181.43,1.81
115,Entry long,2025-06-12 10:00,L,1.15942,8820.51,10226.6757,-45.25,-0.44,33.25,0.33,-45.25,-0.44,181.43,1.81
116,Exit long,2025-06-17 06:00,time,1.1561,8796.04,10181.4163,-12.31,-0.12,35.01,0.34,-27.97,-0.27,169.11,1.69
116,Entry long,2025-06-16 06:00,L,1.1575,8796.04,10181.4163,-12.31,-0.12,35.01,0.34,-27.97,-0.27,169.11,1.69
117,Exit long,2025-06-22 21:00,X,1.14557,8832.64,10169.10676,-50.7,-0.50,27.29,0.27,-50.7,-0.50,118.41,1.18
117,Entry long,2025-06-19 23:00,L,1.15131,8832.64,10169.10676,-50.7,-0.50,27.29,0.27,-50.7,-0.50,118.41,1.18
118,Exit long,2025-06-24 17:00,time,1.16248,8744.93,10118.40871,47.4,0.47,62.18,0.61,-3.85,-0.04,165.81,1.66
118,Entry long,2025-06-23 17:00,L,1.15706,8744.93,10118.40871,47.4,0.47,62.18,0.61,-3.85,-0.04,165.81,1.66
119,Exit long,2025-06-26 18:00,time,1.17193,8716.74,10165.81086,49.6,0.49,72.26,0.71,-9.68,-0.10,215.41,2.15
119,Entry long,2025-06-25 18:00,L,1.16624,8716.74,10165.81086,49.6,0.49,72.26,0.71,-9.68,-0.10,215.41,2.15
120,Exit long,2025-07-01 15:00,time,1.17745,8678.3,10215.4005,2.86,0.03,50.94,0.50,-19.44,-0.19,218.27,2.18
120,Entry long,2025-06-30 15:00,L,1.17712,8678.3,10215.4005,2.86,0.03,50.94,0.50,-19.44,-0.19,218.27,2.18
121,Exit long,2025-07-21 08:00,time,1.16409,8780.99,10218.26244,3.6,0.04,31.08,0.30,-19.41,-0.19,221.87,2.22
121,Entry long,2025-07-18 08:00,L,1.16368,8780.99,10218.26244,3.6,0.04,31.08,0.30,-19.41,-0.19,221.87,2.22
122,Exit long,2025-07-22 14:00,time,1.17209,8738.21,10221.87068,20.1,0.20,25.17,0.25,-16.69,-0.16,241.97,2.42
122,Entry long,2025-07-21 14:00,L,1.16979,8738.21,10221.87068,20.1,0.20,25.17,0.25,-16.69,-0.16,241.97,2.42
123,Exit long,2025-07-23 15:00,time,1.17455,8717.09,10241.97055,-3.31,-0.03,10.02,0.10,-33.39,-0.33,238.66,2.39
123,Entry long,2025-07-22 15:00,L,1.17493,8717.09,10241.97055,-3.31,-0.03,10.02,0.10,-33.39,-0.33,238.66,2.39
124,Exit long,2025-08-04 12:00,time,1.1574,8867.17,10238.65518,24.21,0.24,44.69,0.44,-26.78,-0.26,262.87,2.63
124,Entry long,2025-08-01 12:00,L,1.15467,8867.17,10238.65518,24.21,0.24,44.69,0.44,-26.78,-0.26,262.87,2.63
125,Exit long,2025-08-07 10:00,time,1.1669,8840.89,10262.85875,53.58,0.52,79.92,0.78,-9.46,-0.09,316.44,3.16
125,Entry long,2025-08-06 10:00,L,1.16084,8840.89,10262.85875,53.58,0.52,79.92,0.78,-9.46,-0.09,316.44,3.16
126,Exit long,2025-08-13 15:00,time,1.17124,8837.56,10316.43729,34.47,0.33,50.29,0.49,-7.78,-0.08,350.91,3.51
