Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
29,Exit long,2023-05-11 06:00,X,1.09508,9094.95,10006.35494,-46.66,-0.47,4.46,0.04,-46.66,-0.47,-40.3,-0.40
29,Entry long,2023-05-10 12:00,L,1.10021,9094.95,10006.35494,-46.66,-0.47,4.46,0.04,-46.66,-0.47,-40.3,-0.40
30,Exit long,2023-06-27 11:00,time,1.09433,9121.35,9959.693278,22.07,0.22,30.74,0.31,-17.42,-0.17,-18.22,-0.18
30,Entry long,2023-06-26 11:00,L,1.09191,9121.35,9959.693278,22.07,0.22,30.74,0.31,-17.42,-0.17,-18.22,-0.18
31,Exit long,2023-06-28 12:00,time,1.09265,9101.97,9981.76642,-36.5,-0.37,9.1,0.09,-36.86,-0.37,-54.72,-0.55
31,Entry long,2023-06-27 12:00,L,1.09666,9101.97,9981.76642,-36.5,-0.37,9.1,0.09,-36.86,-0.37,-54.72,-0.55
32,Exit long,2023-07-10 12:00,time,1.09457,9113.23,9945.267899,29.8,0.30,54.95,0.55,-16.13,-0.16,-24.92,-0.25
32,Entry long,2023-07-07 12:00,L,1.0913,9113.23,9945.267899,29.8,0.30,54.95,0.55,-16.13,-0.16,-24.92,-0.25
33,Exit long,2023-07-11 20:00,time,1.10074,9066.19,9975.075548,4.44,0.04,22.57,0.23,-23.21,-0.23,-20.48,-0.20
33,Entry long,2023-07-10 20:00,L,1.10025,9066.19,9975.075548,4.44,0.04,22.57,0.23,-23.21,-0.23,-20.48,-0.20
34,Exit long,2023-07-12 18:00,X,1.11377,9041.3,9979.515701,90.41,0.91,90.41,0.91,-21.61,-0.22,69.93,0.70
34,Entry long,2023-07-12 04:00,L,1.10377,9041.3,9979.515701,90.41,0.91,90.41,0.91,-21.61,-0.22,69.93,0.70
35,Exit long,2023-07-13 18:00,time,1.12211,9039.76,10069.93105,73.67,0.73,75.21,0.75,-10.4,-0.10,143.61,1.44
35,Entry long,2023-07-12 18:00,L,1.11396,9039.76,10069.93105,73.67,0.73,75.21,0.75,-10.4,-0.10,143.61,1.44
36,Exit long,2023-07-14 19:00,time,1.12247,9034.44,10143.5982,-2.71,-0.03,15.72,0.15,-21.32,-0.21,140.9,1.41
36,Entry long,2023-07-13 19:00,L,1.12277,9034.44,10143.5982,-2.71,-0.03,15.72,0.15,-21.32,-0.21,140.9,1.41
37,Exit long,2023-07-27 10:00,time,1.11361,9149.7,10140.887,48.31,0.48,60.85,0.60,-24.43,-0.24,189.21,1.89
37,Entry long,2023-07-26 10:00,L,1.10833,9149.7,10140.887,48.31,0.48,60.85,0.60,-24.43,-0.24,189.21,1.89
38,Exit long,2023-07-31 14:00,time,1.10239,9231.77,10189.19687,-12.19,-0.12,8.12,0.08,-29.36,-0.29,177.02,1.77
38,Entry long,2023-07-28 14:00,L,1.10371,9231.77,10189.19687,-12.19,-0.12,8.12,0.08,-29.36,-0.29,177.02,1.77
39,Exit long,2023-08-07 13:00,time,1.09917,9240.32,10177.01124,-20.33,-0.20,26.15,0.26,-44.63,-0.44,156.69,1.57
39,Entry long,2023-08-04 13:00,L,1.10137,9240.32,10177.01124,-20.33,-0.20,26.15,0.26,-44.63,-0.44,156.69,1.57
40,Exit long,2023-08-10 07:00,time,1.10071,9245.46,10156.69254,19.88,0.20,30.6,0.30,-21.63,-0.21,176.57,1.77
40,Entry long,2023-08-09 07:00,L,1.09856,9245.46,10156.69254,19.88,0.20,30.6,0.30,-21.63,-0.21,176.57,1.77
41,Exit long,2023-08-10 17:00,X,1.09778,9227.01,10176.5616,-47.33,-0.47,33.31,0.33,-47.33,-0.47,129.24,1.29
41,Entry long,2023-08-10 10:00,L,1.10291,9227.01,10176.5616,-47.33,-0.47,33.31,0.33,-47.33,-0.47,129.24,1.29
42,Exit long,2023-08-16 09:00,time,1.09253,9257.46,10129.23501,-15.18,-0.15,9.91,0.10,-41.57,-0.41,114.05,1.14
42,Entry long,2023-08-15 09:00,L,1.09417,9257.46,10129.23501,-15.18,-0.15,9.91,0.10,-41.57,-0.41,114.05,1.14
43,Exit long,2023-08-22 07:00,time,1.09243,9287.55,10114.04907,31.95,0.32,37.61,0.37,-13.56,-0.13,146,1.46
43,Entry long,2023-08-21 07:00,L,1.08899,9287.55,10114.04907,31.95,0.32,37.61,0.37,-13.56,-0.13,146,1.46
44,Exit long,2023-11-20 18:00,time,1.09439,9304.24,10145.99459,36.47,0.36,43.92,0.43,-8.56,-0.08,182.48,1.82
44,Entry long,2023-11-17 18:00,L,1.09047,9304.24,10145.99459,36.47,0.36,43.92,0.43,-8.56,-0.08,182.48,1.82
45,Exit long,2023-11-21 18:00,X,1.09024,9295.92,10182.47189,-47.69,-0.47,10.69,0.10,-47.69,-0.47,134.79,1.35
45,Entry long,2023-11-21 01:00,L,1.09537,9295.92,10182.47189,-47.69,-0.47,10.69,0.10,-47.69,-0.47,134.79,1.35
46,Exit long,2023-11-27 14:00,time,1.09271,9265.58,10134.78406,-10.19,-0.10,19.55,0.19,-11.77,-0.12,124.6,1.25
46,Entry long,2023-11-24 14:00,L,1.09381,9265.58,10134.78406,-10.19,-0.10,19.55,0.19,-11.77,-0.12,124.6,1.25
47,Exit long,2023-11-29 13:00,time,1.09715,9226.15,10124.59249,-2.12,-0.02,40.13,0.40,-8.95,-0.09,122.47,1.22
47,Entry long,2023-11-28 13:00,L,1.09738,9226.15,10124.59249,-2.12,-0.02,40.13,0.40,-8.95,-0.09,122.47,1.22
48,Exit long,2023-12-08 13:00,X,1.07638,9359.57,10122.46855,-48.01,-0.47,0,0.00,-48.01,-0.47,74.46,0.74
48,Entry long,2023-12-07 17:00,L,1.08151,9359.57,10122.46855,-48.01,-0.47,0,0.00,-48.01,-0.47,74.46,0.74
49,Exit long,2023-12-13 09:00,time,1.07862,9332.86,10074.44906,-7.84,-0.08,31.36,0.31,-25.57,-0.25,66.62,0.67
49,Entry long,2023-12-12 09:00,L,1.07946,9332.86,10074.44906,-7.84,-0.08,31.36,0.31,-25.57,-0.25,66.62,0.67
50,Exit long,2023-12-14 14:00,X,1.09891,9244.67,10066.61361,92.45,0.92,92.45,0.92,-22.28,-0.22,159.07,1.59
50,Entry long,2023-12-13 19:00,L,1.08891,9244.67,10066.61361,92.45,0.92,92.45,0.92,-22.28,-0.22,159.07,1.59
51,Exit long,2023-12-15 12:00,X,1.09409,9242.06,10159.05719,-47.41,-0.47,15.9,0.16,-47.41,-0.47,111.65,1.12
51,Entry long,2023-12-14 14:00,L,1.09922,9242.06,10159.05719,-47.41,-0.47,15.9,0.16,-47.41,-0.47,111.65,1.12
52,Exit long,2023-12-20 12:00,time,1.09356,9217.63,10111.64793,-31.62,-0.31,16.32,0.16,-33.09,-0.33,80.04,0.80
52,Entry long,2023-12-19 12:00,L,1.09699,9217.63,10111.64793,-31.62,-0.31,16.32,0.16,-33.09,-0.33,80.04,0.80
53,Exit long,2023-12-22 20:00,time,1.10115,9160,10080.0304,6.5,0.06,32.98,0.33,-9.53,-0.09,86.54,0.87
53,Entry long,2023-12-21 20:00,L,1.10044,9160,10080.0304,6.5,0.06,32.98,0.33,-9.53,-0.09,86.54,0.87
54,Exit long,2023-12-27 16:00,time,1.11113,9139.75,10086.5367,68.91,0.68,79.42,0.79,-6.85,-0.07,155.45,1.55
54,Entry long,2023-12-26 16:00,L,1.10359,9139.75,10086.5367,68.91,0.68,79.42,0.79,-6.85,-0.07,155.45,1.55
55,Exit long,2023-12-28 13:00,X,1.10794,9123.82,10155.45033,-46.81,-0.46,1.55,0.02,-46.81,-0.46,108.65,1.09
55,Entry long,2023-12-28 09:00,L,1.11307,9123.82,10155.45033,-46.81,-0.46,1.55,0.02,-46.81,-0.46,108.65,1.09
56,Exit long,2024-01-05 08:00,X,1.09035,9227.59,10108.64029,-47.34,-0.47,16.24,0.16,-47.34,-0.47,61.31,0.61
56,Entry long,2024-01-04 08:00,L,1.09548,9227.59,10108.64029,-47.34,-0.47,16.24,0.16,-47.34,-0.47,61.31,0.61
57,Exit long,2024-01-09 15:00,X,1.09255,9165.97,10061.30195,-47.02,-0.47,1.92,0.02,-47.02,-0.47,14.29,0.14
57,Entry long,2024-01-08 16:00,L,1.09768,9165.97,10061.30195,-47.02,-0.47,1.92,0.02,-47.02,-0.47,14.29,0.14
58,Exit long,2024-01-11 15:00,time,1.09451,9129.87,10014.28051,-21.55,-0.22,28.21,0.28,-35.06,-0.35,-7.26,-0.07
58,Entry long,2024-01-10 15:00,L,1.09687,9129.87,10014.28051,-21.55,-0.22,28.21,0.28,-35.06,-0.35,-7.26,-0.07
59,Exit long,2024-01-18 13:00,X,1.0854,9163.19,9992.733591,-47.01,-0.47,1.19,0.01,-47.01,-0.47,-54.26,-0.54
59,Entry long,2024-01-18 06:00,L,1.09053,9163.19,9992.733591,-47.01,-0.47,1.19,0.01,-47.01,-0.47,-54.26,-0.54
60,Exit long,2024-01-23 01:00,time,1.08872,9121.76,9945.728581,-14.69,-0.15,5.93,0.06,-25.08,-0.25,-68.95,-0.69
60,Entry long,2024-01-22 01:00,L,1.09033,9121.76,9945.728581,-14.69,-0.15,5.93,0.06,-25.08,-0.25,-68.95,-0.69
61,Exit long,2024-01-23 11:00,X,1.08642,9098.11,9931.041971,-46.67,-0.47,0.45,0.00,-46.67,-0.47,-115.62,-1.16
61,Entry long,2024-01-23 06:00,L,1.09155,9098.11,9931.041971,-46.67,-0.47,0.45,0.00,-46.67,-0.47,-115.62,-1.16
62,Exit long,2024-01-25 00:00,X,1.0875,9046.4,9884.368032,-46.41,-0.47,5.52,0.06,-46.41,-0.47,-162.03,-1.62
62,Entry long,2024-01-24 13:00,L,1.09263,9046.4,9884.368032,-46.41,-0.47,5.52,0.06,-46.41,-0.47,-162.03,-1.62
63,Exit long,2024-01-29 09:00,X,1.08246,9045.66,9837.969359,-46.4,-0.47,9.59,0.10,-46.4,-0.47,-208.43,-2.08
63,Entry long,2024-01-26 11:00,L,1.08759,9045.66,9837.969359,-46.4,-0.47,9.59,0.10,-46.4,-0.47,-208.43,-2.08
64,Exit long,2024-01-31 14:00,time,1.08787,9022.98,9791.557436,24.27,0.25,31.49,0.32,-41.33,-0.42,-184.16,-1.84
64,Entry long,2024-01-30 14:00,L,1.08518,9022.98,9791.557436,24.27,0.25,31.49,0.32,-41.33,-0.42,-184.16,-1.84
65,Exit long,2024-02-02 13:00,X,1.08144,9033.78,9815.834335,-46.34,-0.47,28.82,0.29,-46.34,-0.47,-230.51,-2.31
65,Entry long,2024-02-01 16:00,L,1.08657,9033.78,9815.834335,-46.34,-0.47,28.82,0.29,-46.34,-0.47,-230.51,-2.31
66,Exit long,2024-03-14 11:00,time,1.09403,8927.29,9769.490539,-2.77,-0.03,18.39,0.19,-10.71,-0.11,-233.27,-2.33
66,Entry long,2024-03-13 11:00,L,1.09434,8927.29,9769.490539,-2.77,-0.03,18.39,0.19,-10.71,-0.11,-233.27,-2.33
67,Exit long,2024-03-19 07:00,X,1.08524,8957.25,9766.716683,-45.95,-0.47,1.16,0.01,-45.95,-0.47,-279.22,-2.79
67,Entry long,2024-03-18 11:00,L,1.09037,8957.25,9766.716683,-45.95,-0.47,1.16,0.01,-45.95,-0.47,-279.22,-2.79
68,Exit long,2024-03-21 15:00,X,1.08644,8905.31,9720.769237,-45.68,-0.47,24.04,0.25,-45.68,-0.47,-324.91,-3.25
68,Entry long,2024-03-20 18:00,L,1.09157,8905.31,9720.769237,-45.68,-0.47,24.04,0.25,-45.68,-0.47,-324.91,-3.25
69,Exit long,2024-03-26 12:00,time,1.08508,8931.95,9675.08824,16.79,0.17,28.94,0.30,-2.5,-0.03,-308.12,-3.08
69,Entry long,2024-03-25 12:00,L,1.0832,8931.95,9675.08824,16.79,0.17,28.94,0.30,-2.5,-0.03,-308.12,-3.08
70,Exit long,2024-05-27 12:00,time,1.08478,8930.47,9691.881872,-4.29,-0.04,13.31,0.14,-10.72,-0.11,-312.4,-3.12
70,Entry long,2024-05-24 12:00,L,1.08526,8930.47,9691.881872,-4.29,-0.04,13.31,0.14,-10.72,-0.11,-312.4,-3.12
71,Exit long,2024-05-29 01:00,time,1.08503,8909.11,9687.588032,-20.94,-0.22,13.63,0.14,-23.16,-0.24,-333.34,-3.33
71,Entry long,2024-05-28 01:00,L,1.08738,8909.11,9687.588032,-20.94,-0.22,13.63,0.14,-23.16,-0.24,-333.34,-3.33
72,Exit long,2024-05-31 14:00,time,1.08543,8915.93,9666.651306,10.97,0.11,36.11,0.37,-27.28,-0.28,-322.37,-3.22
72,Entry long,2024-05-30 14:00,L,1.0842,8915.93,9666.651306,10.97,0.11,36.11,0.37,-27.28,-0.28,-322.37,-3.22
73,Exit long,2024-06-04 15:00,time,1.08763,8885.81,9677.624529,-13.15,-0.14,22.13,0.23,-28.52,-0.29,-335.52,-3.36
73,Entry long,2024-06-03 15:00,L,1.08911,8885.81,9677.624529,-13.15,-0.14,22.13,0.23,-28.52,-0.29,-335.52,-3.36
74,Exit long,2024-06-13 10:00,time,1.0793,8981.93,9664.466861,29.73,0.31,83.08,0.86,-2.34,-0.02,-305.79,-3.06
74,Entry long,2024-06-12 10:00,L,1.07599,8981.93,9664.466861,29.73,0.31,83.08,0.86,-2.34,-0.02,-305.79,-3.06
75,Exit long,2024-06-18 15:00,time,1.07371,9040.06,9694.198742,12.2,0.13,34.17,0.35,-12.2,-0.13,-293.59,-2.94
75,Entry long,2024-06-17 15:00,L,1.07236,9040.06,9694.198742,12.2,0.13,34.17,0.35,-12.2,-0.13,-293.59,-2.94
76,Exit long,2024-07-18 08:00,time,1.09295,8869.72,9706.400688,-12.24,-0.13,4.35,0.04,-17.3,-0.18,-305.83,-3.06
76,Entry long,2024-07-17 08:00,L,1.09433,8869.72,9706.400688,-12.24,-0.13,4.35,0.04,-17.3,-0.18,-305.83,-3.06
77,Exit long,2024-08-01 08:00,X,1.07832,8947.5,9694.168875,-45.9,-0.47,13.51,0.14,-45.9,-0.47,-351.73,-3.52
77,Entry long,2024-07-31 10:00,L,1.08345,8947.5,9694.168875,-45.9,-0.47,13.51,0.14,-45.9,-0.47,-351.73,-3.52
78,Exit long,2024-08-05 04:00,X,1.09327,8906.61,9648.263415,89.07,0.92,89.07,0.92,-3.12,-0.03,-262.66,-2.63
78,Entry long,2024-08-02 11:00,L,1.08327,8906.61,9648.263415,89.07,0.92,89.07,0.92,-3.12,-0.03,-262.66,-2.63
79,Exit long,2024-08-06 04:00,time,1.09507,8905.63,9737.326786,14.96,0.15,66.79,0.69,-36.78,-0.38,-247.7,-2.48
79,Entry long,2024-08-05 04:00,L,1.09339,8905.63,9737.326786,14.96,0.15,66.79,0.69,-36.78,-0.38,-247.7,-2.48
80,Exit long,2024-08-08 12:00,X,1.08928,8911,9752.28751,-45.71,-0.47,0.98,0.01,-45.71,-0.47,-293.42,-2.93
80,Entry long,2024-08-08 06:00,L,1.09441,8911,9752.28751,-45.71,-0.47,0.98,0.01,-45.71,-0.47,-293.42,-2.93
81,Exit long,2024-08-14 13:00,time,1.10363,8856.29,9706.582403,67.48,0.70,72.89,0.75,-10.63,-0.11,-225.93,-2.26
81,Entry long,2024-08-13 13:00,L,1.09601,8856.29,9706.582403,67.48,0.70,72.89,0.75,-10.63,-0.11,-225.93,-2.26
82,Exit long,2024-08-19 13:00,time,1.10433,8882.52,9774.058532,35.17,0.36,41.66,0.43,-18.74,-0.19,-190.76,-1.91
82,Entry long,2024-08-16 13:00,L,1.10037,8882.52,9774.058532,35.17,0.36,41.66,0.43,-18.74,-0.19,-190.76,-1.91
83,Exit long,2024-08-20 14:00,time,1.11105,8863.58,9809.23535,38.65,0.39,44.32,0.45,-6.29,-0.06,-152.11,-1.52
83,Entry long,2024-08-19 14:00,L,1.10669,8863.58,9809.23535,38.65,0.39,44.32,0.45,-6.29,-0.06,-152.11,-1.52
84,Exit long,2024-08-21 18:00,time,1.11605,8854.42,9847.885924,34.09,0.35,46.13,0.47,-20.28,-0.21,-118.02,-1.18
84,Entry long,2024-08-20 18:00,L,1.1122,8854.42,9847.885924,34.09,0.35,46.13,0.47,-20.28,-0.21,-118.02,-1.18
85,Exit long,2024-08-26 14:00,time,1.11753,8842.06,9881.974677,-0.71,-0.01,22.64,0.23,-22.9,-0.23,-118.73,-1.19
85,Entry long,2024-08-23 14:00,L,1.11761,8842.06,9881.974677,-0.71,-0.01,22.64,0.23,-22.9,-0.23,-118.73,-1.19
86,Exit long,2024-09-05 14:00,time,1.10783,8909.18,9881.26063,-11.4,-0.12,25.57,0.26,-22.99,-0.23,-130.13,-1.30
86,Entry long,2024-09-04 14:00,L,1.10911,8909.18,9881.26063,-11.4,-0.12,25.57,0.26,-22.99,-0.23,-130.13,-1.30
87,Exit long,2024-09-06 16:00,X,1.1071,8873.94,9869.862286,-45.52,-0.46,11.45,0.12,-50.23,-0.51,-175.66,-1.76
87,Entry long,2024-09-06 12:00,L,1.11223,8873.94,9869.862286,-45.52,-0.46,11.45,0.12,-50.23,-0.51,-175.66,-1.76
88,Exit long,2024-09-13 17:00,time,1.10803,8884.53,9824.335583,19.99,0.20,39.27,0.40,-5.86,-0.06,-155.67,-1.56
88,Entry long,2024-09-12 17:00,L,1.10578,8884.53,9824.335583,19.99,0.20,39.27,0.40,-5.86,-0.06,-155.67,-1.56
89,Exit long,2024-09-17 08:00,time,1.11435,8849.39,9844.326918,16.99,0.17,19.47,0.20,-7.52,-0.08,-138.68,-1.39
89,Entry long,2024-09-16 08:00,L,1.11243,8849.39,9844.326918,16.99,0.17,19.47,0.20,-7.52,-0.08,-138.68,-1.39
