variant_name,trades,win_rate,profit_factor,net_profit_usdt,max_drawdown_pct,expectancy,avg_realized_r,avg_planned_rr,sl_exits,tp_exits,flip_exits,long_trades,long_win_rate,short_trades,short_win_rate,oos_profit_factor,stress_test_2x_fees,validation,recommended_mode
V7_COMBO_MINIMAL,387,33.850129198966414,1.0082794631574967,58.664439437692636,12.809431387430456,0.15158769880540732,0.009492456593835057,2.4375063609655263,257,130,0,152,30.263157894736842,235,36.17021276595745,1.3636977263166883,FAIL,BLOCK_LIVE,BACKTEST_ONLY
V2_SHORT_ONLY,495,31.717171717171716,0.9298837449593209,-629.2758144613263,11.250430543605198,-1.271264271639043,-0.05465850546517716,2.512273640665815,339,156,0,0,0.0,495,31.717171717171716,0.9986537974335287,FAIL,BLOCK_LIVE,BACKTEST_ONLY
V3_4H_TREND_FILTER,535,31.775700934579437,0.9254844497967122,-709.3353450109905,14.9106446752291,-1.3258604579644682,-0.05235835706638931,2.437321219741223,365,169,1,212,30.660377358490564,323,32.50773993808049,1.1883266423939687,FAIL,BLOCK_LIVE,BACKTEST_ONLY
V4_PULLBACK_LOCATION,681,31.277533039647576,0.9134126805892364,-1054.6746048771577,17.40126009259329,-1.5487145446066926,-0.06713881001378469,2.503102448836953,458,211,12,324,28.703703703703702,357,33.61344537815126,0.8832616729202406,FAIL,BLOCK_LIVE,BACKTEST_ONLY
V5B_ADX_20,708,30.7909604519774,0.8994667375827569,-1222.4875606762598,18.60934600455838,-1.7266773455879376,-0.07395472556125261,2.4600889593027846,484,216,8,315,29.841269841269842,393,31.552162849872772,1.061653147531177,FAIL,BLOCK_LIVE,BACKTEST_ONLY
V5A_ADX_18,776,30.670103092783506,0.8868206288601124,-1511.5528745320794,20.451657665495667,-1.947877415634123,-0.08103212094147491,2.4358892787272146,529,235,12,343,30.029154518950435,433,31.177829099307157,1.0423790499903012,FAIL,BLOCK_LIVE,BACKTEST_ONLY
V0_BASELINE_BOTH,916,30.021834061135372,0.8594724811442033,-2144.851788070417,24.103996033769164,-2.3415412533519837,-0.1063069841404495,2.4761928517916845,626,270,20,418,28.708133971291865,498,31.12449799196787,0.9184440759738655,FAIL,BLOCK_LIVE,BACKTEST_ONLY
V6_RSI_MOMENTUM,921,29.75027144408252,0.8462489126161014,-2341.320514198119,26.444391495555784,-2.5421503954376967,-0.11579441767223889,2.47675822292096,636,270,15,420,28.095238095238095,501,31.137724550898206,0.8811356980289291,FAIL,BLOCK_LIVE,BACKTEST_ONLY
V1_LONG_ONLY,411,27.980535279805352,0.7816913164298895,-1634.8507597011026,17.513725806076142,-3.9777390746985466,-0.1731309052244347,2.424205699045879,296,115,0,411,27.980535279805352,0,0.0,0.794032107338545,FAIL,BLOCK_LIVE,BACKTEST_ONLY
