combo_key,variant,params_json,status,n_primary_folds,median_oos_pf,worst_fold_oos_pf,median_oos_sharpe,max_oos_dd_pct,max_is_to_oos_sharpe_degradation_pct,total_oos_trades,min_fold_oos_trades,folds_with_oos_pf_gt_1,max_per_pair_net_profit_share,net_profit_share_json,control_catastrophic,control_folds_below_bar_json,raw_p,bonferroni_p,n_tested,survives_raw,survives_bonferroni,verdict,gate_reason,downgrade_reasons,posterior_pf_p05,posterior_pf_p50,posterior_pf_p95,posterior_pf_prob_gt_1
"V2|atr_stop_mult=1.5,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 10, ""donchian_out"": 5}",OK,5,2.222080,1.106954,-1.388575,4.486119,262260.725066,105,13,5,0.657408,"{""EURUSD"": 0.25532651288113656, ""GBPUSD"": 0.08726566573931509, ""XAUUSD"": 0.6574078213795485}",false,"{""USDJPY"": 1}",0.807151,1.000000,123,false,false,BLOCKED,portfolio.median_oos_sharpe=-1.389 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=262260.7% > 30%; portfolio.max_per_pair_net_profit_share=65.7% (worst: XAUUSD) > 40%,,0.265629,2.778138,29.055762,0.784956
"V2|atr_stop_mult=1.5,donchian_in=20,donchian_out=10",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 20, ""donchian_out"": 10}",OK,5,2.973610,2.005444,3.301362,3.056327,151.997116,67,10,5,0.710785,"{""EURUSD"": 0.17859440947198882, ""GBPUSD"": 0.1106205964650533, ""XAUUSD"": 0.7107849940629579}",false,"{""USDJPY"": 1}",0.814345,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=152.0% > 30%; portfolio.max_per_pair_net_profit_share=71.1% (worst: XAUUSD) > 40%,,0.365699,4.239969,49.158877,0.852185
"V2|atr_stop_mult=1.5,donchian_in=20,donchian_out=20",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 20, ""donchian_out"": 20}",OK,5,2.973610,2.005444,3.301362,3.056327,151.997116,67,10,5,0.710785,"{""EURUSD"": 0.17859440947198882, ""GBPUSD"": 0.1106205964650533, ""XAUUSD"": 0.7107849940629579}",false,"{""USDJPY"": 1}",0.814345,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=152.0% > 30%; portfolio.max_per_pair_net_profit_share=71.1% (worst: XAUUSD) > 40%,,0.365699,4.239969,49.158877,0.852185
"V2|atr_stop_mult=1.5,donchian_in=20,donchian_out=5",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 20, ""donchian_out"": 5}",OK,5,2.973610,2.005444,3.301362,3.056327,151.997116,67,10,5,0.710785,"{""EURUSD"": 0.17859440947198882, ""GBPUSD"": 0.1106205964650533, ""XAUUSD"": 0.7107849940629579}",false,"{""USDJPY"": 1}",0.814345,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=152.0% > 30%; portfolio.max_per_pair_net_profit_share=71.1% (worst: XAUUSD) > 40%,,0.365699,4.239969,49.158877,0.852185
"V2|atr_stop_mult=1.5,donchian_in=40,donchian_out=10",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 40, ""donchian_out"": 10}",OK,5,34.995212,2.796644,0.698247,2.048256,104.656232,43,6,5,0.763195,"{""EURUSD"": 0.1474373785742432, ""GBPUSD"": 0.08936786695688613, ""XAUUSD"": 0.7631947544688706}",false,"{""USDJPY"": 1}",0.867329,1.000000,123,false,false,BLOCKED,portfolio.median_oos_sharpe=0.698 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=104.7% > 30%; portfolio.max_per_pair_net_profit_share=76.3% (worst: XAUUSD) > 40%,,0.496307,6.383683,82.109334,0.895926
"V2|atr_stop_mult=1.5,donchian_in=40,donchian_out=20",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 40, ""donchian_out"": 20}",OK,5,34.995212,2.796644,0.698247,2.048256,104.656232,43,6,5,0.763195,"{""EURUSD"": 0.1474373785742432, ""GBPUSD"": 0.08936786695688613, ""XAUUSD"": 0.7631947544688706}",false,"{""USDJPY"": 1}",0.867329,1.000000,123,false,false,BLOCKED,portfolio.median_oos_sharpe=0.698 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=104.7% > 30%; portfolio.max_per_pair_net_profit_share=76.3% (worst: XAUUSD) > 40%,,0.496307,6.383683,82.109334,0.895926
"V2|atr_stop_mult=1.5,donchian_in=40,donchian_out=5",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 40, ""donchian_out"": 5}",OK,5,34.995212,2.796644,0.698247,2.048256,104.656232,43,6,5,0.763195,"{""EURUSD"": 0.1474373785742432, ""GBPUSD"": 0.08936786695688613, ""XAUUSD"": 0.7631947544688706}",false,"{""USDJPY"": 1}",0.867329,1.000000,123,false,false,BLOCKED,portfolio.median_oos_sharpe=0.698 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=104.7% > 30%; portfolio.max_per_pair_net_profit_share=76.3% (worst: XAUUSD) > 40%,,0.496307,6.383683,82.109334,0.895926
"V2|atr_stop_mult=2.0,donchian_in=10,donchian_out=10",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 10, ""donchian_out"": 10}",OK,5,1.947961,0.950163,-1.152077,3.388887,5463.858316,98,13,4,0.616227,"{""EURUSD"": 0.27117675763809707, ""GBPUSD"": 0.11259597066891844, ""XAUUSD"": 0.6162272716929845}",false,"{""USDJPY"": 1}",0.559684,1.000000,123,false,false,BLOCKED,portfolio.median_oos_sharpe=-1.152 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=5463.9% > 30%; portfolio.max_per_pair_net_profit_share=61.6% (worst: XAUUSD) > 40%,,0.257419,2.596702,26.194110,0.773502
"V2|atr_stop_mult=2.0,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 10, ""donchian_out"": 5}",OK,5,1.947961,0.950163,-1.152077,3.388887,5463.858316,98,13,4,0.616227,"{""EURUSD"": 0.27117675763809707, ""GBPUSD"": 0.11259597066891844, ""XAUUSD"": 0.6162272716929845}",false,"{""USDJPY"": 1}",0.559684,1.000000,123,false,false,BLOCKED,portfolio.median_oos_sharpe=-1.152 < 0.70; portfolio.max_is_to_oos_sharpe_degradation_pct=5463.9% > 30%; portfolio.max_per_pair_net_profit_share=61.6% (worst: XAUUSD) > 40%,,0.257419,2.596702,26.194110,0.773502
"V2|atr_stop_mult=2.0,donchian_in=20,donchian_out=10",V2,"{""atr_stop_mult"": 2.0, ""donchian_in"": 20, ""donchian_out"": 10}",OK,5,2.636642,1.770841,3.537149,2.536359,4533010.768041,62,10,5,0.695596,"{""EURUSD"": 0.17714029786663565, ""GBPUSD"": 0.12726364871704177, ""XAUUSD"": 0.6955960534163227}",false,"{""USDJPY"": 1}",0.811920,1.000000,123,false,false,BLOCKED,portfolio.max_is_to_oos_sharpe_degradation_pct=4533010.8% > 30%; portfolio.max_per_pair_net_profit_share=69.6% (worst: XAUUSD) > 40%,,0.330081,4.032564,49.265348,0.839720
