combo_key,variant,params_json,symbol,status,n_folds,median_oos_pf,worst_fold_oos_pf,median_oos_sharpe,max_oos_dd_pct,max_is_to_oos_sharpe_degradation_pct,total_oos_trades,min_fold_oos_trades,raw_p,bonferroni_p,n_tested,survives_raw,survives_bonferroni,verdict,gate_reason
"V1|atr_stop_mult=2.5,ema_fast=21,ema_slow=89,rsi_length=14",V1,"{""atr_stop_mult"": 2.5, ""ema_fast"": 21, ""ema_slow"": 89, ""rsi_length"": 14}",XAUUSD,OK,5,2.095613,0.480619,3.831410,1.866439,100.000000,86,13,0.138409,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V1|atr_stop_mult=2.5,ema_fast=21,ema_slow=89,rsi_length=14",V1,"{""atr_stop_mult"": 2.5, ""ema_fast"": 21, ""ema_slow"": 89, ""rsi_length"": 14}",USDJPY,OK,5,1.515369,0.220853,1.906656,2.150403,2434.083339,80,9,0.424269,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=2434.1% > 30%
"V1|atr_stop_mult=2.5,ema_fast=21,ema_slow=89,rsi_length=21",V1,"{""atr_stop_mult"": 2.5, ""ema_fast"": 21, ""ema_slow"": 89, ""rsi_length"": 21}",EURUSD,OK,5,1.722656,0.437031,2.918152,1.056493,467.412714,66,7,0.397498,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=467.4% > 30%
"V1|atr_stop_mult=2.5,ema_fast=21,ema_slow=89,rsi_length=21",V1,"{""atr_stop_mult"": 2.5, ""ema_fast"": 21, ""ema_slow"": 89, ""rsi_length"": 21}",GBPUSD,OK,5,1.093998,0.239236,0.560157,2.170954,1139.583385,57,6,0.739255,1.000000,123,false,false,BLOCKED,median_oos_pf=1.094 < 1.30; median_oos_sharpe=0.560 < 0.70; max_is_to_oos_sharpe_degradation_pct=1139.6% > 30%
"V1|atr_stop_mult=2.5,ema_fast=21,ema_slow=89,rsi_length=21",V1,"{""atr_stop_mult"": 2.5, ""ema_fast"": 21, ""ema_slow"": 89, ""rsi_length"": 21}",XAUUSD,OK,5,6.108355,0.390130,5.137658,1.594868,100.000000,56,5,0.119089,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V1|atr_stop_mult=2.5,ema_fast=21,ema_slow=89,rsi_length=21",V1,"{""atr_stop_mult"": 2.5, ""ema_fast"": 21, ""ema_slow"": 89, ""rsi_length"": 21}",USDJPY,OK,5,2.601853,0.334927,4.440613,1.693740,100.000000,65,5,0.199899,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V2|atr_stop_mult=1.5,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 10, ""donchian_out"": 5}",EURUSD,OK,5,0.087390,0.000000,-11.758244,3.555496,262260.725066,28,2,0.808473,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=2 < 5; total_oos_trades=28 < 40; median_oos_pf=0.087 < 1.30; median_oos_sharpe=-11.758 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=262260.7% > 30%
"V2|atr_stop_mult=1.5,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 10, ""donchian_out"": 5}",GBPUSD,OK,5,0.901524,0.517147,-0.595511,2.037652,100.000000,29,3,0.736957,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=3 < 5; total_oos_trades=29 < 40; median_oos_pf=0.902 < 1.30; median_oos_sharpe=-0.596 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V2|atr_stop_mult=1.5,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 10, ""donchian_out"": 5}",XAUUSD,OK,5,3.439623,0.413094,5.620034,4.486119,296.057331,48,8,0.095203,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=296.1% > 30%
"V2|atr_stop_mult=1.5,donchian_in=10,donchian_out=5",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 10, ""donchian_out"": 5}",USDJPY,OK,5,1.165794,0.000000,0.984775,2.052223,1284.622033,29,4,0.695133,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=4 < 5; total_oos_trades=29 < 40; median_oos_pf=1.166 < 1.30; max_is_to_oos_sharpe_degradation_pct=1284.6% > 30%
"V2|atr_stop_mult=1.5,donchian_in=10,donchian_out=10",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 10, ""donchian_out"": 10}",EURUSD,OK,5,0.087390,0.000000,-11.758244,3.555496,262260.725066,28,2,0.808473,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=2 < 5; total_oos_trades=28 < 40; median_oos_pf=0.087 < 1.30; median_oos_sharpe=-11.758 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=262260.7% > 30%
"V2|atr_stop_mult=1.5,donchian_in=10,donchian_out=10",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 10, ""donchian_out"": 10}",GBPUSD,OK,5,0.901524,0.517147,-0.595511,2.037652,100.000000,29,3,0.736957,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=3 < 5; total_oos_trades=29 < 40; median_oos_pf=0.902 < 1.30; median_oos_sharpe=-0.596 < 0.70; folds_with_oos_pf>1=2 < 3; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
"V2|atr_stop_mult=1.5,donchian_in=10,donchian_out=10",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 10, ""donchian_out"": 10}",XAUUSD,OK,5,3.439623,0.413094,5.620034,4.486119,296.057331,48,8,0.095203,1.000000,123,false,false,BLOCKED,max_is_to_oos_sharpe_degradation_pct=296.1% > 30%
"V2|atr_stop_mult=1.5,donchian_in=10,donchian_out=10",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 10, ""donchian_out"": 10}",USDJPY,OK,5,1.165794,0.000000,0.984775,2.052223,1284.622033,29,4,0.695133,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=4 < 5; total_oos_trades=29 < 40; median_oos_pf=1.166 < 1.30; max_is_to_oos_sharpe_degradation_pct=1284.6% > 30%
"V2|atr_stop_mult=1.5,donchian_in=20,donchian_out=5",V2,"{""atr_stop_mult"": 1.5, ""donchian_in"": 20, ""donchian_out"": 5}",EURUSD,OK,5,1.237985,0.000000,1.182381,3.056327,100.000000,22,2,0.820012,1.000000,123,false,false,BLOCKED,min_fold_oos_trades=2 < 5; total_oos_trades=22 < 40; median_oos_pf=1.238 < 1.30; max_is_to_oos_sharpe_degradation_pct=100.0% > 30%
